cell_id,lac,operator,technology,latitude,longitude,address,city
100196,8177,MockTel Gamma,4G,24.818861,66.97474,Karachi - Mock Sector 8,Karachi
100203,1344,MockTel Gamma,4G,24.807641,66.962558,Karachi - Mock Sector 9,Karachi
100210,1964,MockTel Alpha,2G,33.646616,73.00873,Islamabad - Mock Sector 2,Islamabad
100217,9423,MockTel Alpha,2G,33.741159,73.098249,Islamabad - Mock Sector 5,Islamabad
100224,8744,MockTel Beta,2G,33.708057,73.007893,Islamabad - Mock Sector 8,Islamabad
100231,8062,MockTel Alpha,3G,33.72745,73.004557,Islamabad - Mock Sector 7,Islamabad
100238,2612,MockTel Alpha,2G,33.671954,73.098837,Islamabad - Mock Sector 7,Islamabad
100245,5073,MockTel Alpha,2G,33.71635,73.089983,Islamabad - Mock Sector 4,Islamabad
100252,5563,MockTel Beta,3G,33.68948,72.997526,Islamabad - Mock Sector 4,Islamabad
100259,1828,MockTel Alpha,4G,33.736828,72.988454,Islamabad - Mock Sector 9,Islamabad
100266,3724,MockTel Beta,3G,33.731444,73.113559,Islamabad - Mock Sector 8,Islamabad
100273,3697,MockTel Alpha,3G,33.68179,73.098951,Islamabad - Mock Sector 1,Islamabad
100280,5673,MockTel Delta,3G,33.752343,73.015028,Islamabad - Mock Sector 12,Islamabad
100287,3536,MockTel Delta,2G,33.748424,73.117259,Islamabad - Mock Sector 5,Islamabad
100294,6138,MockTel Alpha,2G,33.644878,72.986088,Islamabad - Mock Sector 1,Islamabad
100301,1931,MockTel Beta,4G,33.696185,73.048299,Islamabad - Mock Sector 2,Islamabad
100308,4853,MockTel Alpha,3G,33.733588,72.987493,Islamabad - Mock Sector 2,Islamabad
100315,2343,MockTel Alpha,3G,33.662523,73.077655,Rawalpindi - Mock Sector 11,Rawalpindi
100322,4346,MockTel Gamma,4G,33.612414,73.07109,Rawalpindi - Mock Sector 12,Rawalpindi
100329,5915,MockTel Beta,3G,33.574686,73.035086,Rawalpindi - Mock Sector 6,Rawalpindi
100336,8508,MockTel Alpha,4G,33.660763,73.128903,Rawalpindi - Mock Sector 10,Rawalpindi
100343,9288,MockTel Beta,3G,33.670154,73.008157,Rawalpindi - Mock Sector 3,Rawalpindi
100350,7054,MockTel Beta,3G,33.661356,73.121221,Rawalpindi - Mock Sector 3,Rawalpindi
100357,9666,MockTel Gamma,2G,33.592046,73.073951,Rawalpindi - Mock Sector 11,Rawalpindi
100364,3200,MockTel Alpha,3G,33.645095,73.039813,Rawalpindi - Mock Sector 2,Rawalpindi
100371,5462,MockTel Beta,3G,33.65526,73.101838,Rawalpindi - Mock Sector 10,Rawalpindi
100378,9280,MockTel Gamma,3G,33.560188,73.045903,Rawalpindi - Mock Sector 5,Rawalpindi
100385,7939,MockTel Alpha,3G,33.657447,73.116355,Rawalpindi - Mock Sector 1,Rawalpindi
100392,3647,MockTel Gamma,4G,33.531196,73.105857,Rawalpindi - Mock Sector 8,Rawalpindi
100399,2832,MockTel Alpha,2G,33.607935,73.057776,Rawalpindi - Mock Sector 12,Rawalpindi
100406,3426,MockTel Gamma,3G,33.65725,73.074283,Rawalpindi - Mock Sector 3,Rawalpindi
100413,6862,MockTel Alpha,2G,33.536556,73.048951,Rawalpindi - Mock Sector 11,Rawalpindi
100420,3532,MockTel Delta,2G,31.415334,73.079391,Faisalabad - Mock Sector 3,Faisalabad
100427,1406,MockTel Delta,2G,31.517069,73.178508,Faisalabad - Mock Sector 12,Faisalabad
100434,5065,MockTel Delta,3G,31.509828,73.174534,Faisalabad - Mock Sector 3,Faisalabad
100441,8711,MockTel Alpha,2G,31.490632,73.080133,Faisalabad - Mock Sector 4,Faisalabad
100448,4728,MockTel Gamma,2G,31.494722,73.129442,Faisalabad - Mock Sector 1,Faisalabad
100455,2137,MockTel Gamma,3G,31.472805,73.120785,Faisalabad - Mock Sector 6,Faisalabad
100462,1452,MockTel Gamma,2G,31.470207,73.120955,Faisalabad - Mock Sector 5,Faisalabad
100469,1626,MockTel Gamma,2G,31.405399,73.199755,Faisalabad - Mock Sector 10,Faisalabad
100476,8149,MockTel Gamma,4G,31.441239,73.166996,Faisalabad - Mock Sector 9,Faisalabad
100483,5173,MockTel Beta,2G,31.39659,73.190931,Faisalabad - Mock Sector 12,Faisalabad
100490,6967,MockTel Beta,3G,31.441448,73.137789,Faisalabad - Mock Sector 2,Faisalabad
100497,3041,MockTel Gamma,4G,31.513242,73.193908,Faisalabad - Mock Sector 5,Faisalabad
100504,7592,MockTel Gamma,4G,31.451397,73.158365,Faisalabad - Mock Sector 5,Faisalabad
100511,3851,MockTel Delta,4G,31.458018,73.091858,Faisalabad - Mock Sector 10,Faisalabad
100518,5978,MockTel Alpha,3G,31.422533,73.141711,Faisalabad - Mock Sector 4,Faisalabad
100525,8618,MockTel Gamma,3G,30.147684,71.536098,Multan - Mock Sector 8,Multan
100532,2389,MockTel Beta,3G,30.182088,71.526464,Multan - Mock Sector 9,Multan
100539,4848,MockTel Alpha,4G,30.18044,71.541597,Multan - Mock Sector 5,Multan
100546,1757,MockTel Alpha,2G,30.11895,71.482778,Multan - Mock Sector 8,Multan
100553,7790,MockTel Delta,4G,30.173078,71.562489,Multan - Mock Sector 10,Multan
100560,7547,MockTel Delta,2G,30.114721,71.55239,Multan - Mock Sector 3,Multan
100567,7965,MockTel Alpha,2G,30.179348,71.455676,Multan - Mock Sector 3,Multan
100574,1822,MockTel Delta,4G,30.200075,71.552328,Multan - Mock Sector 4,Multan
100581,8612,MockTel Beta,4G,30.215946,71.47189,Multan - Mock Sector 9,Multan
100588,9270,MockTel Delta,3G,30.225805,71.538263,Multan - Mock Sector 9,Multan
100595,8373,MockTel Delta,3G,30.149928,71.477182,Multan - Mock Sector 4,Multan
100602,4919,MockTel Delta,3G,30.205081,71.493724,Multan - Mock Sector 8,Multan
100609,6502,MockTel Gamma,3G,30.098348,71.494902,Multan - Mock Sector 9,Multan
100616,3503,MockTel Delta,4G,30.098781,71.476016,Multan - Mock Sector 4,Multan
100623,7812,MockTel Delta,2G,30.096492,71.511964,Multan - Mock Sector 4,Multan
100630,7232,MockTel Alpha,3G,34.061705,71.509427,Peshawar - Mock Sector 1,Peshawar
100637,7865,MockTel Delta,4G,34.077084,71.496706,Peshawar - Mock Sector 12,Peshawar
100644,8999,MockTel Beta,2G,34.047949,71.566882,Peshawar - Mock Sector 5,Peshawar
100651,7624,MockTel Gamma,4G,34.006117,71.458963,Peshawar - Mock Sector 3,Peshawar
100658,7455,MockTel Alpha,4G,34.062771,71.583636,Peshawar - Mock Sector 10,Peshawar
100665,3223,MockTel Delta,3G,34.03792,71.466653,Peshawar - Mock Sector 3,Peshawar
100672,8449,MockTel Beta,3G,33.95214,71.507975,Peshawar - Mock Sector 6,Peshawar
100679,5133,MockTel Delta,2G,34.051672,71.507978,Peshawar - Mock Sector 8,Peshawar
100686,4673,MockTel Gamma,4G,33.947814,71.530419,Peshawar - Mock Sector 2,Peshawar
100693,5051,MockTel Alpha,2G,34.054473,71.546146,Peshawar - Mock Sector 1,Peshawar
100700,2874,MockTel Delta,4G,34.032087,71.488296,Peshawar - Mock Sector 4,Peshawar
100707,3749,MockTel Gamma,4G,34.010205,71.490774,Peshawar - Mock Sector 10,Peshawar
100714,6096,MockTel Beta,2G,34.080023,71.55547,Peshawar - Mock Sector 10,Peshawar
100721,7498,MockTel Delta,4G,33.948695,71.498574,Peshawar - Mock Sector 4,Peshawar
100728,2669,MockTel Beta,4G,33.95574,71.551586,Peshawar - Mock Sector 5,Peshawar
100735,1672,MockTel Alpha,3G,30.228841,66.989058,Quetta - Mock Sector 9,Quetta
100742,1207,MockTel Gamma,3G,30.169773,66.95688,Quetta - Mock Sector 8,Quetta
100749,3506,MockTel Delta,3G,30.124575,67.03951,Quetta - Mock Sector 3,Quetta
100756,9817,MockTel Gamma,3G,30.212531,67.040166,Quetta - Mock Sector 8,Quetta
100763,6280,MockTel Gamma,2G,30.17078,67.007344,Quetta - Mock Sector 2,Quetta
100770,7209,MockTel Delta,3G,30.14885,66.968112,Quetta - Mock Sector 1,Quetta
100777,4475,MockTel Delta,3G,30.179003,66.950502,Quetta - Mock Sector 5,Quetta
100784,1166,MockTel Gamma,4G,30.157447,67.028245,Quetta - Mock Sector 4,Quetta
100791,4937,MockTel Delta,4G,30.121786,67.00581,Quetta - Mock Sector 8,Quetta
100798,2524,MockTel Alpha,3G,30.200226,66.973715,Quetta - Mock Sector 4,Quetta
100805,8753,MockTel Gamma,4G,30.166416,66.939063,Quetta - Mock Sector 9,Quetta
100812,6764,MockTel Gamma,4G,30.157926,67.044528,Quetta - Mock Sector 8,Quetta
100819,4155,MockTel Alpha,3G,30.147728,66.940197,Quetta - Mock Sector 2,Quetta
100826,4138,MockTel Beta,2G,30.213803,67.038123,Quetta - Mock Sector 12,Quetta
100833,2647,MockTel Gamma,2G,30.177588,67.006442,Quetta - Mock Sector 5,Quetta
100840,9751,MockTel Alpha,2G,32.456348,74.478022,Sialkot - Mock Sector 5,Sialkot
100847,3068,MockTel Gamma,4G,32.430872,74.460534,Sialkot - Mock Sector 8,Sialkot
100854,8690,MockTel Gamma,3G,32.438862,74.454617,Sialkot - Mock Sector 8,Sialkot
100861,8827,MockTel Gamma,2G,32.472199,74.58807,Sialkot - Mock Sector 2,Sialkot
100868,3485,MockTel Alpha,2G,32.480599,74.463272,Sialkot - Mock Sector 10,Sialkot
100875,2940,MockTel Beta,4G,32.557378,74.464825,Sialkot - Mock Sector 7,Sialkot
100882,9561,MockTel Beta,3G,32.509384,74.563604,Sialkot - Mock Sector 8,Sialkot
100889,6003,MockTel Delta,4G,32.551691,74.494529,Sialkot - Mock Sector 10,Sialkot
100896,4404,MockTel Alpha,4G,32.432932,74.587315,Sialkot - Mock Sector 4,Sialkot
100903,3847,MockTel Beta,4G,32.46155,74.464266,Sialkot - Mock Sector 2,Sialkot
100910,5771,MockTel Delta,2G,32.446415,74.510092,Sialkot - Mock Sector 4,Sialkot
100917,2166,MockTel Delta,4G,32.464835,74.492481,Sialkot - Mock Sector 4,Sialkot
100924,7965,MockTel Beta,2G,32.553848,74.563196,Sialkot - Mock Sector 9,Sialkot
100931,3330,MockTel Gamma,2G,32.455973,74.473759,Sialkot - Mock Sector 1,Sialkot
100938,8195,MockTel Gamma,2G,32.447729,74.495966,Sialkot - Mock Sector 8,Sialkot
100945,9199,MockTel Gamma,4G,32.214115,74.222463,Gujranwala - Mock Sector 8,Gujranwala
100952,6280,MockTel Delta,4G,32.178986,74.208225,Gujranwala - Mock Sector 5,Gujranwala
100959,5415,MockTel Alpha,4G,32.121321,74.156549,Gujranwala - Mock Sector 1,Gujranwala
100966,5557,MockTel Delta,2G,32.224535,74.149027,Gujranwala - Mock Sector 10,Gujranwala
100973,8700,MockTel Alpha,3G,32.178724,74.238494,Gujranwala - Mock Sector 7,Gujranwala
100980,6403,MockTel Beta,3G,32.164363,74.218319,Gujranwala - Mock Sector 12,Gujranwala
100987,1601,MockTel Delta,3G,32.187066,74.217262,Gujranwala - Mock Sector 2,Gujranwala
100994,9431,MockTel Delta,2G,32.161732,74.169758,Gujranwala - Mock Sector 11,Gujranwala
101001,4073,MockTel Alpha,4G,32.239411,74.189177,Gujranwala - Mock Sector 6,Gujranwala
101008,1845,MockTel Delta,2G,32.204869,74.194289,Gujranwala - Mock Sector 5,Gujranwala
101015,8941,MockTel Delta,2G,32.194591,74.254374,Gujranwala - Mock Sector 1,Gujranwala
101022,3594,MockTel Beta,3G,32.253941,74.209742,Gujranwala - Mock Sector 9,Gujranwala
101029,2858,MockTel Beta,3G,32.119614,74.181619,Gujranwala - Mock Sector 2,Gujranwala
101036,9337,MockTel Gamma,4G,32.208379,74.146056,Gujranwala - Mock Sector 5,Gujranwala
101043,4993,MockTel Delta,3G,32.175869,74.19205,Gujranwala - Mock Sector 9,Gujranwala
101050,2143,MockTel Beta,3G,25.34625,68.314485,Hyderabad - Mock Sector 7,Hyderabad
101057,1042,MockTel Gamma,3G,25.373583,68.39808,Hyderabad - Mock Sector 12,Hyderabad
101064,3434,MockTel Delta,3G,25.367798,68.369971,Hyderabad - Mock Sector 9,Hyderabad
101071,8460,MockTel Delta,3G,25.393808,68.334342,Hyderabad - Mock Sector 4,Hyderabad
101078,4826,MockTel Delta,3G,25.463308,68.321233,Hyderabad - Mock Sector 1,Hyderabad
101085,7325,MockTel Delta,4G,25.370545,68.354017,Hyderabad - Mock Sector 11,Hyderabad
101092,3068,MockTel Alpha,4G,25.463315,68.357146,Hyderabad - Mock Sector 10,Hyderabad
101099,2633,MockTel Delta,4G,25.372479,68.301851,Hyderabad - Mock Sector 8,Hyderabad
101106,2225,MockTel Beta,3G,25.328149,68.307982,Hyderabad - Mock Sector 5,Hyderabad
101113,6383,MockTel Alpha,4G,25.373399,68.384779,Hyderabad - Mock Sector 9,Hyderabad
101120,9864,MockTel Delta,2G,25.379201,68.332133,Hyderabad - Mock Sector 10,Hyderabad
101127,4727,MockTel Gamma,4G,25.335579,68.376163,Hyderabad - Mock Sector 2,Hyderabad
101134,8269,MockTel Alpha,2G,25.386756,68.301582,Hyderabad - Mock Sector 12,Hyderabad
101141,1919,MockTel Gamma,3G,25.367925,68.291853,Hyderabad - Mock Sector 6,Hyderabad
101148,3950,MockTel Delta,2G,25.378478,68.30818,Hyderabad - Mock Sector 3,Hyderabad
101155,9153,MockTel Beta,4G,27.646256,68.909318,Sukkur - Mock Sector 3,Sukkur
101162,5183,MockTel Delta,4G,27.667706,68.876707,Sukkur - Mock Sector 1,Sukkur
101169,9955,MockTel Gamma,2G,27.761047,68.852535,Sukkur - Mock Sector 2,Sukkur
101176,7951,MockTel Gamma,4G,27.697042,68.835779,Sukkur - Mock Sector 5,Sukkur
101183,8916,MockTel Delta,2G,27.699157,68.829697,Sukkur - Mock Sector 4,Sukkur
101190,5837,MockTel Gamma,2G,27.688591,68.837654,Sukkur - Mock Sector 11,Sukkur
101197,9138,MockTel Alpha,3G,27.690613,68.788534,Sukkur - Mock Sector 4,Sukkur
101204,5106,MockTel Beta,4G,27.720189,68.836725,Sukkur - Mock Sector 12,Sukkur
101211,2591,MockTel Beta,4G,27.742646,68.88272,Sukkur - Mock Sector 11,Sukkur
101218,6977,MockTel Alpha,4G,27.640719,68.897805,Sukkur - Mock Sector 3,Sukkur
101225,3877,MockTel Delta,2G,27.647819,68.828715,Sukkur - Mock Sector 3,Sukkur
101232,9697,MockTel Gamma,4G,27.745312,68.910104,Sukkur - Mock Sector 5,Sukkur
101239,5835,MockTel Delta,4G,27.751466,68.823376,Sukkur - Mock Sector 6,Sukkur
101246,3306,MockTel Alpha,2G,27.747793,68.852966,Sukkur - Mock Sector 11,Sukkur
101253,2479,MockTel Gamma,3G,27.73659,68.924592,Sukkur - Mock Sector 1,Sukkur
